# t m   v   beta    h   theta   u
0   11.3    1e-06   2.77860819863e-06   0.0 0.0 0.999871890934
1.12681 11.0703034485   0.0483649064877 3.1715534546e-05    0.0274199153907 1.29929499744e-09   0.998958246276
2.25361 10.8408167849   0.0921925497448 3.72636082804e-05   0.107252362504  5.95514030718e-09   0.326196705112
3.38042 10.7658809267   0.090683693199  4.20453758593e-05   0.210227341355  1.27488341644e-08   0.36077660746
4.50722 10.6830011665   0.0916779384911 4.74523648979e-05   0.312965878384  2.04014332419e-08   0.348216995107
5.63403 10.6030066755   0.0920148841805 5.35065012386e-05   0.416440676184  2.90935384675e-08   0.348162975156
6.76084 10.5230245943   0.0925365990072 6.02966641843e-05   0.5204032739    3.89367692674e-08   0.344819131671
7.88764 10.4438106808   0.0930181089434 6.79018539473e-05   0.624930229321  5.0083520831e-08    0.342374770938
9.01445 10.3651583006   0.0935195865936 7.64151897145e-05   0.730011396396  6.26964446471e-08   0.339711745211
10.1413 10.2871176865   0.0940246707442 8.59376994215e-05   0.835659580289  7.69598912076e-08   0.337150529163
11.2681 10.2096654503   0.0945389717196 9.65812647273e-05   0.941881973673  9.30793785195e-08   0.334568141088
12.3949 10.1328064557   0.0950597343545 0.000108469263306   1.04868760273   1.11285346314e-07   0.332038336386
13.5217 10.056528623    0.0955892162114 0.000121737440866   1.15608504563   1.31834851487e-07   0.329509747357
14.6485 9.98083167285   0.0961262052325 0.000136535062263   1.26408339909   1.55014894122e-07   0.327010078582
15.7753 9.90570896159   0.0966714389773 0.000153026224658   1.37269153914   1.81145560812e-07   0.324528413444
16.9021 9.8311563533    0.0972248963531 0.000171391070942   1.48191873119   2.10583693434e-07   0.322070798124
18.0289 9.75716832309   0.0977869802566 0.000191827201329   1.59177446655   2.43726791529e-07   0.319627886638
19.1557 9.68374149313   0.0983574847092 0.000214551185091   1.70226833537   2.81017264632e-07   0.31721107001
20.2825 9.61086986874   0.098937003886  0.000239800140529   1.81341016432   3.22947209818e-07   0.314811149588
21.4093 9.53854956842   0.0995254924258 0.000267833415404   1.92521007587   3.70063587119e-07   0.312432454392
22.5361 9.46677571619   0.100123238775  0.000298934444328   2.03767833673   4.22973838873e-07   0.310073449285
23.6629 9.39554378872   0.100730432337  0.000333412654684   2.15082548065   4.8235212264e-07    0.307734103495
24.7897 9.32484926976   0.101347278805  0.000371605537268   2.26466226419   5.48946059076e-07   0.305415304594
25.9165 9.25468743916   0.101974058967  0.000413880815239   2.37919971927   6.23584148107e-07   0.303112723465
27.0433 9.18505457126   0.102610772129  0.000460638805631   2.49444902948   7.07183733168e-07   0.300842293289
28.1701 9.11594328017   0.103258535918  0.000512314669319   2.61042203018   8.00760182938e-07   0.29856639394
29.297  9.04735482228   0.10391580613   0.000569381363827   2.72713026137   9.05435602071e-07   0.296333057678
30.4238 8.97927941977   0.104584604775  0.00063235220542    2.84458560489   1.02244990183e-06   0.294107919546
31.5506 8.91171518929   0.105264330731  0.000701783418957   2.96280068854   1.15317229058e-06   0.291904654179
32.6774 8.84465710611   0.105955482276  0.000778277594739   3.08178810404   1.29911291511e-06   0.289719505221
33.8042 8.77810100842   0.106658275558  0.000862486607199   3.20156083904   1.46193653067e-06   0.287553332661
34.931  8.71204253685   0.107373013262  0.000955114979  3.32213217435   1.64347680043e-06   0.285405783978
36.0578 8.64647741301   0.108099987244  0.00105692329751    3.44351572451   1.84575192933e-06   0.283276805784
37.1846 8.58140137077   0.108839503086  0.00116873180087    3.56572543978   2.07098151567e-06   0.281166363371
38.3114 8.51681015199   0.109591868394  0.00129142446873    3.68877571076   2.32160626668e-06   0.279074591534
39.4382 8.45269946754   0.110357438748  0.00142595200563    3.8126811585    2.60030425935e-06   0.277000138296
40.565  8.3890653389    0.111136473076  0.00157333666297    3.93745682923   2.91001532601e-06   0.274947440837
41.6918 8.3259027682    0.111929592965  0.00173467569233    4.06311823087   3.25396235208e-06   0.272899557983
42.8186 8.2632106494    0.112736134768  0.00191114652647    4.1896808402    3.63567518946e-06   0.270895618686
43.9454 8.20097888752   0.113558538722  0.00210400962722    4.31716118699   4.05902022234e-06   0.26888554858
45.0722 8.13920889097   0.114395149167  0.00231461539834    4.44557643334   4.52823353859e-06   0.266904254414
46.199  8.07789404916   0.115247354064  0.00254440411962    4.5749430461    5.04792741452e-06   0.264938553658
47.3258 8.01703077989   0.116115365681  0.00279491448205    4.70527870185   5.62314930667e-06   0.262989088609
48.4527 7.9566153534    0.116999476021  0.00306778844827    4.83660152318   6.25941240849e-06   0.261061056952
49.5795 7.89664284586   0.117900465281  0.00336477191539    4.96892989716   6.96271718178e-06   0.25914680789
50.7063 7.83711009107   0.118818468407  0.00368772122835    5.10228276769   7.73960139672e-06   0.257251762341
51.8331 7.77801267749   0.119754108957  0.00403861111944    5.23667972676   8.59719297438e-06   0.255373633633
52.9599 7.71934671886   0.120707832067  0.00441953501588    5.37214086131   9.54324137038e-06   0.253513463423
54.0867 7.66110808965   0.121680196244  0.00483271074897    5.50868681957   1.0586170107e-05    0.251668719133
55.2135 7.60329324614   0.122671570262  0.00528048506647    5.64633876202   1.17351275208e-05   0.249848290104
56.3403 7.54589660248   0.12368304859   0.00576534128992    5.78511913141   1.30000721019e-05   0.248030023384
57.4671 7.48891766192   0.124713940463  0.00628989313982    5.92504970261   1.43917464287e-05   0.246246828699
58.5939 7.43234836752   0.125766448506  0.00685689740221    6.06615351629   1.59218157566e-05   0.244470147632
59.7207 7.37618722291   0.12684018476   0.00746925356802    6.20845460354   1.76029136875e-05   0.242710243883
60.8475 7.32043037392   0.127935789228  0.00813001041354    6.35197713654   1.94487007846e-05   0.240968981314
61.9743 7.26507353818   0.129054086829  0.00884236627962    6.49674609541   2.14739438826e-05   0.23925307835
63.1011 7.21011088994   0.130196491008  0.00960966899285    6.64278770638   2.36945990586e-05   0.237534777489
64.2279 7.15554298005   0.131361937783  0.0104354233221 6.79012832879   2.61278751366e-05   0.23585143399
65.3547 7.10136177789   0.132552890675  0.0113232895957 6.93879513148   2.87923294653e-05   0.2341728937
66.4816 7.04756618005   0.133768963387  0.0122770825344 7.08881637522   3.17079597105e-05   0.232515140152
67.6084 6.99415141127   0.135011367809  0.0133007756639 7.24022076771   3.489628693e-05 0.230886212442
68.7352 6.94111084951   0.136282024555  0.0143984921845 7.39303874282   3.83804791206e-05   0.229237770352
69.862  6.88844897772   0.137578371059  0.0155745192201 7.54730025492   4.2185403193e-05    0.227651747455
70.9888 6.8361514566    0.138905777722  0.0168332919058 7.70303688792   4.63377844701e-05   0.226040852646
72.1156 6.78422399988   0.140261077142  0.0181793935172 7.86028127533   5.08662980623e-05   0.224478472654
73.2424 6.73265546243   0.141648439305  0.019617556595  8.01906663398   5.58016805566e-05   0.222909371404
74.3692 6.6814473883    0.143066527127  0.0211526505188 8.1794276065    6.11768685792e-05   0.221365434305
75.496  6.63059399664   0.144517323094  0.0227896869811 8.34139913677   6.70270941747e-05   0.219834207182
76.6228 6.58009236763   0.146001557324  0.0245338029641 8.50501755198   7.33900464956e-05   0.218318672364
77.7496 6.52993889635   0.147520328785  0.0263902584024 8.67032007873   8.03059938452e-05   0.216817734448
78.8764 6.4801302295    0.149074677241  0.0283644260742 8.83734499171   8.7817928719e-05    0.215331337971
80.0032 6.43066302655   0.150665696403  0.0304617820826 9.0061315898    9.59717112317e-05   0.213859120912
81.13   6.3815340301    0.152294503944  0.0326878948441 9.17672021654   0.000104816219211   0.212400765796
82.2568 6.33274005571   0.153962249277  0.0350484130922 9.349152266 0.000114403502127   0.210955909902
83.3836 6.28427800226   0.155670111679  0.0375490527181 9.52347018919   0.000124788939302   0.209524141378
84.5104 6.23614486324   0.157419298224  0.0401955825251 9.69971749513   0.000136031401927   0.208105098379
85.6373 6.18833771526   0.159211052039  0.0429938088247 9.87793875239   0.000148193418971   0.206698051968
86.7641 6.14085380241   0.161046616871  0.045949559208  10.0581795713   0.00016134134535    0.20530314624
87.8909 6.09369033564   0.162927336993  0.0490686639898 10.2404865652   0.000175545513359   0.203918747031
89.0177 6.04684490133   0.16485448585   0.0523569342652 10.4249070234   0.000190880274873   0.20254508625
90.1445 6.0003150326    0.166829394827  0.0558201586963 10.6114900844   0.000207424693812   0.201181884102
91.2713 5.95409832682   0.168853490022  0.0594640652613 10.8002854138   0.000225262173161   0.199826900476
92.3981 5.90819289598   0.170928045658  0.0632943074249 10.9913435862   0.00024448081858    0.198484497102
93.5249 5.86259585008   0.173054917608  0.0673164378665 11.1847162704   0.000265173641721   0.197142365834
